session,location,code_ocean_asset_id
713578_2024-04-10_09-53-20,s3://aind-open-data/713578_2024-04-10_09-53-20,6c5b090a-29c5-4799-91c8-74eaa0208d99
713578_2024-04-11_10-18-07,s3://aind-open-data/713578_2024-04-11_10-18-07,3f2d1869-075d-4f52-8e0b-3f18978b8917
713578_2024-04-12_10-15-37,s3://aind-open-data/713578_2024-04-12_10-15-37,2a54758c-763d-443c-bedd-0119e62e0051
713578_2024-04-13_12-21-37,s3://aind-open-data/713578_2024-04-13_12-21-37,25baffe0-9fce-4c84-8b87-1747560e2bcb
713578_2024-04-15_10-12-58,s3://aind-open-data/713578_2024-04-15_10-12-58,131c8aa0-4de4-45e8-af30-e6948185b120
713578_2024-04-16_11-18-28,s3://aind-open-data/713578_2024-04-16_11-18-28,5ea1577a-093d-4053-8504-a213e25737a7
713578_2024-04-17_10-33-43,s3://aind-open-data/713578_2024-04-17_10-33-43,301e5a5c-bba4-4cc3-8653-62f15d3a70b0
713578_2024-04-18_10-34-55,s3://aind-open-data/713578_2024-04-18_10-34-55,05ea89ea-1bd3-44eb-b8fb-38a54d790e19
713578_2024-04-19_10-42-42,s3://aind-open-data/713578_2024-04-19_10-42-42,eba75fbe-4bf9-4b14-a452-fd9ffa4503f5
713578_2024-04-22_10-41-53,s3://aind-open-data/713578_2024-04-22_10-41-53,e7a997a1-bfb9-4f1e-ac41-6d8ead76f5c2
713578_2024-04-23_10-06-28,s3://aind-open-data/713578_2024-04-23_10-06-28,fe9a2bc9-7cff-42d1-aaa9-ff0f5fc07295
713578_2024-04-24_10-30-16,s3://aind-open-data/713578_2024-04-24_10-30-16,158d3202-46b9-49cd-a218-3afd9b921adf
713578_2024-04-25_10-24-00,s3://aind-open-data/713578_2024-04-25_10-24-00,f493335d-545d-474d-b01f-b79dc8c6fe9a
713578_2024-04-26_10-12-07,s3://aind-open-data/713578_2024-04-26_10-12-07,e5aca540-42cd-4fee-8e17-b080bf0a0066
713578_2024-04-29_10-17-26,s3://aind-open-data/713578_2024-04-29_10-17-26,82be0bda-2e3b-44ed-ad82-ef307f424f0d
713578_2024-04-30_10-21-29,s3://aind-open-data/713578_2024-04-30_10-21-29,c3085f31-38d9-4f72-ba7d-1e0c88abf7b0
713578_2024-05-01_09-58-42,s3://aind-open-data/713578_2024-05-01_09-58-42,25d3d0d7-ee5b-4502-b9cc-280b1fcd2a5f
713578_2024-05-02_09-43-42,s3://aind-open-data/713578_2024-05-02_09-43-42,f3efc103-939c-4c05-b930-b8293b2fa16f
713578_2024-05-03_09-41-37,s3://aind-open-data/713578_2024-05-03_09-41-37,ed94ca8b-1aae-4949-8507-334d531552b9
713578_2024-05-06_10-04-09,s3://aind-open-data/713578_2024-05-06_10-04-09,7a4a0da0-dfac-4fc0-8967-5b7a56899935
713578_2024-05-07_11-16-27,s3://aind-open-data/713578_2024-05-07_11-16-27,66751432-571e-49b3-ae6d-b7695003c49d
713578_2024-05-08_10-50-09,s3://aind-open-data/713578_2024-05-08_10-50-09,b7155fe7-1ce4-410d-9575-d9c4a6057199
713578_2024-05-09_09-50-02,s3://aind-open-data/713578_2024-05-09_09-50-02,20efffb3-d6b7-4ac7-b29a-06b51a77aecd
713578_2024-05-10_10-08-46,s3://aind-open-data/713578_2024-05-10_10-08-46,a657ba4c-0c64-4cbb-a2a0-5edb76e43617
713578_2024-05-13_10-41-26,s3://aind-open-data/713578_2024-05-13_10-41-26,8c193e98-4f0e-4a0d-b403-265897a665f4
713578_2024-05-14_10-32-55,s3://aind-open-data/713578_2024-05-14_10-32-55,aa936e78-1ec5-4c02-ab54-3a67b04e45fa
713578_2024-05-15_10-04-04,s3://aind-open-data/713578_2024-05-15_10-04-04,2f541d2c-aecb-4514-b3b5-b7f1a4967d56
713578_2024-05-16_09-58-38,s3://aind-open-data/713578_2024-05-16_09-58-38,1ac725c1-26dc-4afa-91bc-9c75aed4318e
713578_2024-05-20_11-15-57,s3://aind-open-data/713578_2024-05-20_11-15-57,befd6bec-bcf9-4b0e-9446-40c016e02b57
713578_2024-05-21_10-49-29,s3://aind-open-data/713578_2024-05-21_10-49-29,b42d9348-ccb0-4d05-945e-55a1877d6a39
